
Bank of America Corp,Last: 62.6699,Change:  0.6199
"Date: July 27, 2026 at 10:22 AM EDT",Bid: 62.66,Ask: 62.67,Size: 700*400,"Volume: 4,893,499"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jul 31 2026,BAC260731C00050000,12.46,0.435,11.75,13.3,1,0,0.9968,0.0018,39,50.00,BAC260731P00050000,0.01,0,0,0.02,0,0.8385,-0.0031,0.0018,1214
Fri Jul 31 2026,BAC260731C00051000,11.15,0,10.75,12.4,0,0,0.9961,0.0023,20,51.00,BAC260731P00051000,0.02,0,0,0.02,0,0.7722,-0.0038,0.0023,188
Fri Jul 31 2026,BAC260731C00052000,10.1,0,9.7,11.45,0,0,0.9951,0.003,121,52.00,BAC260731P00052000,0.02,0,0,0.02,0,0.7068,-0.0048,0.003,332
Fri Jul 31 2026,BAC260731C00053000,9.2,0,9.5,9.9,0,0.7067,0.9938,0.004,532,53.00,BAC260731P00053000,0.02,0,0,0.03,0,0.6749,-0.0061,0.004,182
Fri Jul 31 2026,BAC260731C00054000,7.94,0,8.5,8.8,0,0,0.9921,0.0054,370,54.00,BAC260731P00054000,0.01,0,0,0.03,0,0.6082,-0.0078,0.0054,530
Fri Jul 31 2026,BAC260731C00055000,7.65,0.775,7.5,7.85,15,0,0.9898,0.0075,265,55.00,BAC260731P00055000,0.03,0,0,0.03,0,0.542,-0.0101,0.0075,812
Fri Jul 31 2026,BAC260731C00056000,6.22,0,6.5,6.9,0,0.4926,0.9865,0.0106,514,56.00,BAC260731P00056000,0.02,0,0.01,0.02,0,0.7711,-0.0134,0.0106,3955
Fri Jul 31 2026,BAC260731C00057000,4.9,0,5.6,5.9,0,0.5297,0.9816,0.0155,362,57.00,BAC260731P00057000,0.02,-0.005,0.01,0.03,54,0.4282,-0.0183,0.0156,914
Fri Jul 31 2026,BAC260731C00058000,4.7,0.775,4.5,4.85,2,0,0.9736,0.024,1014,58.00,BAC260731P00058000,0.02,-0.025,0.01,0.03,143,0.3604,-0.0263,0.024,1193
Fri Jul 31 2026,BAC260731C00059000,3.71,0.71,3.55,3.85,105,0.2844,0.9575,0.0406,1612,59.00,BAC260731P00059000,0.04,-0.045,0.03,0.04,67,0.3224,-0.0425,0.0407,5926
Fri Jul 31 2026,BAC260731C00060000,2.71,0.645,2.73,2.84,12,0.318,0.9182,0.0759,3514,60.00,BAC260731P00060000,0.08,-0.1,0.07,0.08,252,0.294,-0.082,0.0763,8644
Fri Jul 31 2026,BAC260731C00061000,1.87,0.555,1.83,1.92,105,0.2816,0.8274,0.1392,2787,61.00,BAC260731P00061000,0.17,-0.225,0.16,0.17,719,0.2666,-0.1735,0.1403,3053
Fri Jul 31 2026,BAC260731C00062000,1.11,0.41,1.05,1.13,546,0.2583,0.6594,0.2117,19567,62.00,BAC260731P00062000,0.4,-0.385,0.38,0.4,865,0.2514,-0.3431,0.2138,1943
Fri Jul 31 2026,BAC260731C00063000,0.54,0.23,0.51,0.53,2040,0.2455,0.4307,0.2364,10150,63.00,BAC260731P00063000,0.86,-0.57,0.8,0.84,580,0.2379,-0.5745,0.2392,215
Fri Jul 31 2026,BAC260731C00064000,0.19,0.075,0.19,0.2,1860,0.2387,0.2141,0.1808,3823,64.00,BAC260731P00064000,1.6,-0.65,1.45,1.55,2763,0.2274,-0.7938,0.183,81
Fri Jul 31 2026,BAC260731C00065000,0.05,0.015,0.05,0.06,711,0.2342,0.0759,0.0909,2504,65.00,BAC260731P00065000,2.35,-0.825,2.25,2.57,3,0.2547,-0.9346,0.0934,3
Fri Jul 31 2026,BAC260731C00066000,0.02,0.005,0.01,0.02,406,0.2413,0.0238,0.0345,1689,66.00,BAC260731P00066000,3.4,-0.775,3.2,3.55,1,0.2822,-0.9865,0.031,0
Fri Jul 31 2026,BAC260731C00067000,0.01,-0.005,0,0.01,17,0.2581,0.0092,0.014,268,67.00,BAC260731P00067000,6.01,0,4.1,4.55,0,0,-0.9973,0.0079,0
Fri Jul 31 2026,BAC260731C00068000,0.01,0.005,0,0.01,1,0.3079,0.0044,0.0066,18,68.00,BAC260731P00068000,10.25,0,5.1,5.55,0,0,-0.9993,0.0021,0
Fri Jul 31 2026,BAC260731C00069000,0.01,0,0,0.01,0,0.356,0.0024,0.0034,416,69.00,BAC260731P00069000,7.62,0,5.35,7.55,0,0.5863,-0.9998,0.0006,0
Fri Jul 31 2026,BAC260731C00070000,0.02,0,0,0.01,0,0.4027,0.0014,0.002,81,70.00,BAC260731P00070000,8.6,0,6.8,8.4,0,0.7992,-1,0.0002,0
Fri Jul 31 2026,BAC260731C00071000,0,0,0,0.01,0,0.4482,0.0009,0.0012,0,71.00,BAC260731P00071000,0,0,7.35,9.55,0,0.7172,-1,0.0001,0
Fri Jul 31 2026,BAC260731C00072000,0,0,0,0.01,0,0.4925,0.0006,0.0008,0,72.00,BAC260731P00072000,0,0,8.35,10.6,0,0.8122,-1,0,0
Fri Jul 31 2026,BAC260731C00073000,0,0,0,0.01,0,0.5357,0.0004,0.0005,0,73.00,BAC260731P00073000,10.45,-0.75,9.8,11.1,1,0.8396,-1,0,0
Fri Jul 31 2026,BAC260731C00074000,0,0,0,0.01,0,0.578,0.0003,0.0004,0,74.00,BAC260731P00074000,0,0,10.8,12.4,0,1.0756,-1,0,0
